N_followers,alpha_mps2,case_id,command_delay_s,controller,disturbance_location,hdv_model,layout,mean_loss_m_per_follower_median,mean_loss_m_per_follower_q25,mean_loss_m_per_follower_q75,min_gap_m_median,min_gap_m_q25,min_gap_m_q75,normalized_loss_median,normalized_loss_q25,normalized_loss_q75,peak_constraint_usage_median,peak_constraint_usage_q25,peak_constraint_usage_q75,peak_jerk_mps3_median,peak_jerk_mps3_q25,peak_jerk_mps3_q75,pulse_internal_gain_median,pulse_internal_gain_q25,pulse_internal_gain_q75,success_rate,success_wilson_high,success_wilson_low,successes,terminal_gap_error_m_median,terminal_gap_error_m_q25,terminal_gap_error_m_q75,terminal_speed_error_mps_median,terminal_speed_error_mps_q25,terminal_speed_error_mps_q75,throughput_loss_vehicle_m_median,throughput_loss_vehicle_m_q25,throughput_loss_vehicle_m_q75,trials
40,2.5,even_idm_leader_d02,0.2,acc,0,idm,even,259.78076219111347,250.7376769118858,263.09609576259857,-2.461292669011552,-2.506173217414048,-2.4106836301930814,0.21648396849259455,0.20894806409323818,0.21924674646883216,1.3230646334505776,1.3205341815096543,1.3253086608707023,5.000000000000004,5.000000000000004,5.000000000000004,5.333333333333333,5.333333333333333,5.333333333333333,0.0,0.2425007574992425,0.0,0,99.66099519579717,87.93629840132061,122.0770431152299,20.0,20.0,20.0,10391.230487644538,10029.507076475433,10523.843830503944,12
40,2.5,even_idm_leader_cmd04,0.4,margin,0,idm,even,7.202787007246907,7.012530954150096,7.310541580087563,17.768573398377953,17.768573398377953,17.768573398377953,0.006002322506039089,0.00584377579512508,0.006092117983406302,0.3115713300811024,0.3115713300811024,0.3115713300811024,5.0,5.0,5.0,0.35790496768155816,0.35790496768155816,0.35790496768155816,1.0,0.9999999999999999,0.6096569663469354,6,1.7049999999999272,1.7049999999999272,1.7049999999999272,0.499999999999968,0.49999999999987743,0.5187499999999936,288.1114802898763,280.5012381660039,292.4216632035025,6
40,1.8,even_idm_leader_d02,0.2,acc,0,idm,even,152.998944379384,110.10335045622773,167.64348600395513,-2.463291553697413,-2.5323498785710683,-2.357893815436709,0.12749912031615335,0.09175279204685645,0.13970290500329596,1.3231645776848706,1.3178946907718354,1.3266174939285533,5.000000000000004,5.000000000000004,5.000000000000004,7.4074074074074066,7.4074074074074066,7.4074074074074066,0.0,0.2425007574992425,0.0,0,116.91275558722958,89.61240091697415,126.67577401023183,20.0,20.0,20.0,6119.95777517536,4404.134018249109,6705.739440158205,12
40,1.8,middle_idm_leader_d02,0.2,margin,0,idm,middle,104.05497954912595,85.54799267274088,115.96570077570739,-86.90275128518397,-92.07489621185354,-80.28978572887016,0.08671248295760496,0.07128999389395074,0.09663808397975616,5.545137564259198,5.2144892864435075,5.803744810592677,5.000000000000004,5.000000000000004,5.000000000000004,7.4074074074074066,7.4074074074074066,7.4074074074074066,0.0,0.2425007574992425,0.0,0,109.15834682500656,98.54788621118004,123.41851742392373,20.0,20.0,20.0,4162.1991819650375,3421.9197069096354,4638.628031028296,12
20,1.8,even_idm_leader_N20,0.2,margin,0,idm,even,7.764908392507731,7.739941984004958,7.774679989960559,20.118271619165995,20.118271619165995,20.118271619165995,0.006470756993756444,0.006449951653337466,0.006478899991633799,0.1949187838400666,0.1949187838400666,0.1949187838400666,5.0,5.0,5.0,0.3297484226603448,0.3247469032735031,0.33710942071833605,1.0,0.9999999999999999,0.6096569663469354,6,1.599499999999125,1.599499999999125,1.599499999999125,0.15178963119034528,0.15060481605289322,0.1582139605207331,155.29816785015464,154.79883968009918,155.49359979921115,6
40,0.25,even_idm_leader_d02,0.2,human,0,idm,even,0.3761140447127978,0.37284446910454655,0.38387248894242687,23.592930630971644,23.590872024838642,23.59782869513661,0.0003134283705939982,0.0003107037242537888,0.0003198937407853557,0.08080218984714313,0.07913134497617809,0.0869481745321135,5.0,5.0,5.0,0.707338965958679,0.6803881080123256,0.7378187125948253,1.0,1.0,0.7574992425007574,12,0.059140731310478145,0.05220155718514263,0.06451008407101,0.029721286307905714,0.027588094013863973,0.033254081130419166,15.044561788511913,14.913778764181863,15.354899557697074,12
40,2.0,even_idm_leader_d02,0.2,human,0,idm,even,239.20176953291934,228.85986950589674,246.70894702295237,-2.4716477384143367,-2.552445668284008,-2.418243396068741,0.19933480794409944,0.1907165579215806,0.20559078918579365,1.3235823869207168,1.3209121698034372,1.3276222834142004,5.000000000000004,5.000000000000004,5.000000000000004,6.666666666666667,6.666666666666667,6.666666666666667,0.0,0.2425007574992425,0.0,0,103.6665917646821,91.33966510338263,115.39936697134443,20.0,20.0,20.0,9568.070781316774,9154.394780235869,9868.357880918094,12
40,2.1,even_idm_internal8_d02,0.2,margin,8,idm,even,8.092355427439337,6.649275889242143,8.727267268059492,14.452105524839936,14.335445002546452,16.475504990873688,0.006743629522866113,0.0055410632410351195,0.0072727227233829106,1.0,1.0,1.0000000000000002,5.0,5.0,5.000000000000001,1.3207626015099798,1.0433344250002472,1.329546926089327,1.0,0.9999999999999999,0.6096569663469354,6,3.121501290277905,2.7798689946777415,3.439025986841628,0.5961619671959468,0.4696493340399499,0.639321786366069,323.6942170975734,265.9710355696857,349.09069072237975,6
20,2.0,even_idm_leader_N20,0.2,predictive,0,idm,even,6.458760414512542,6.438024131328368,6.468051341512722,19.272922396420682,19.272922396420682,19.272922396420682,0.005382300345427119,0.0053650201094403065,0.005390042784593934,0.23635388017896589,0.23635388017896589,0.23635388017896589,5.0,5.0,5.0,0.2543345005143447,0.2505699986642247,0.25997995126124884,1.0,0.9999999999999999,0.6096569663469354,6,2.024738549558947,1.979725368032632,2.1425259827318257,0.17500000000000426,0.17500000000000426,0.17500000000000426,129.17520829025085,128.76048262656735,129.36102683025445,6
40,0.0,even_idm_leader_d02,0.2,human,0,idm,even,0.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,3.0811654457797164e-16,3.0542957854740404e-16,3.0932975757230254e-16,1.5405827228898582e-15,1.5271478927370201e-15,1.5466487878615127e-15,0.0,0.0,0.0,1.0,1.0,0.7574992425007574,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
