run_id,case_id,layout,seed,alpha_mps2,active_indices,prefix_indices,first_prefix_safety_vehicle,first_prefix_safety_time_s,first_prefix_safety_gap_m,first_prefix_collision_time_s,source,first_crossing_verified
bb06661f0932cc2c,middle_idm_leader_d02,middle,47,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",14.0,26.8,3.644175242531759,28.8,results/nonlinear_revision/failure_log.jsonl,True
09c8d83b3c62a377,middle_idm_leader_d02,middle,61,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.6,3.953792551088924,26.200000000000003,results/nonlinear_revision/failure_log.jsonl,True
e556dd12a760754b,middle_idm_leader_d02,middle,79,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.1,3.574921012824305,26.1,results/nonlinear_revision/failure_log.jsonl,True
1b39abf46d387b2c,middle_idm_leader_d02,middle,97,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",13.0,25.8,3.823497387260176,27.400000000000002,results/nonlinear_revision/failure_log.jsonl,True
71c737c349997d20,middle_idm_leader_d02,middle,113,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",14.0,26.8,3.790423981753833,27.8,results/nonlinear_revision/failure_log.jsonl,True
e8a3b909814630fc,middle_idm_leader_d02,middle,131,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",16.0,29.700000000000003,3.7909091526629055,30.700000000000003,results/nonlinear_revision/failure_log.jsonl,True
22d853a71402c417,middle_idm_leader_d02,middle,149,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.700000000000003,3.826258512230794,24.6,results/nonlinear_revision/failure_log.jsonl,True
96caf7de6fddb936,middle_idm_leader_d02,middle,167,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",13.0,25.4,3.563718041571548,26.5,results/nonlinear_revision/failure_log.jsonl,True
fb4e0d6e33103b3a,middle_idm_leader_d02,middle,191,1.9,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",15.0,28.6,3.5174951423055774,30.5,results/nonlinear_revision/failure_log.jsonl,True
9430ad7e14a0ec74,middle_idm_leader_d02,middle,3,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.1,3.808596445721875,26.1,results/nonlinear_revision/failure_log.jsonl,True
929ff570c97991c5,middle_idm_leader_d02,middle,11,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,23.200000000000003,3.976333405468594,24.700000000000003,results/nonlinear_revision/failure_log.jsonl,True
1a5794851bad97a8,middle_idm_leader_d02,middle,29,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",13.0,25.6,3.843236751950613,27.900000000000002,results/nonlinear_revision/failure_log.jsonl,True
100ed9dc8fe8c05b,middle_idm_leader_d02,middle,47,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.200000000000003,3.836761097095973,26.3,results/nonlinear_revision/failure_log.jsonl,True
699dc80dd3373f1f,middle_idm_leader_d02,middle,61,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.0,3.850133000496797,25.0,results/nonlinear_revision/failure_log.jsonl,True
56e9af21bee32c49,middle_idm_leader_d02,middle,79,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.9,3.75084476990078,24.6,results/nonlinear_revision/failure_log.jsonl,True
b22b029177e2693e,middle_idm_leader_d02,middle,97,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.3,3.917880463709636,26.1,results/nonlinear_revision/failure_log.jsonl,True
3556cac01a5d7906,middle_idm_leader_d02,middle,113,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.3,3.79137755941602,26.3,results/nonlinear_revision/failure_log.jsonl,True
75181bbbe0cf7125,middle_idm_leader_d02,middle,131,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",14.0,27.0,3.8485366583508096,29.0,results/nonlinear_revision/failure_log.jsonl,True
3cf8aa4a6c6fc916,middle_idm_leader_d02,middle,149,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.4,3.915759744385341,23.200000000000003,results/nonlinear_revision/failure_log.jsonl,True
c617c0a8975f418c,middle_idm_leader_d02,middle,167,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,23.9,3.870953914979708,25.0,results/nonlinear_revision/failure_log.jsonl,True
0fbf3953cfbffcba,middle_idm_leader_d02,middle,191,2.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",13.0,25.6,3.77461381960606,27.6,results/nonlinear_revision/failure_log.jsonl,True
9a5c1b605d5024b9,middle_idm_leader_d02,middle,3,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.6,3.923655476236618,24.8,results/nonlinear_revision/failure_log.jsonl,True
ea176138ce0e1247,middle_idm_leader_d02,middle,11,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.700000000000003,3.5598394100900776,24.6,results/nonlinear_revision/failure_log.jsonl,True
d761ea51ec22a491,middle_idm_leader_d02,middle,29,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.1,3.6871471151210073,26.1,results/nonlinear_revision/failure_log.jsonl,True
612c21e0950a0c3d,middle_idm_leader_d02,middle,47,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.8,3.784916556988108,24.700000000000003,results/nonlinear_revision/failure_log.jsonl,True
e1231cf26f6ec19a,middle_idm_leader_d02,middle,61,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.700000000000003,3.7521050301754713,24.8,results/nonlinear_revision/failure_log.jsonl,True
eb13794afca1ff1d,middle_idm_leader_d02,middle,79,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",10.0,21.5,3.885863850780439,23.5,results/nonlinear_revision/failure_log.jsonl,True
