controller,seed,success,endpoint_gap_error_m,window_max_gap_error_m,normalized_loss,speed_projection_count,speed_projection_before_first_safety,max_projection_acceleration_difference_mps2
predictive,3,1,4.51614851860495,4.516201999001794,0.011007296604100717,0,0,1.7791323969618134e-14
predictive,11,0,5.401042749386761,5.507779225495199,0.011913772688653125,0,0,1.7819079545233762e-14
predictive,29,1,4.603861480260093,4.603861480260093,0.010789420239347276,0,0,1.787459069646502e-14
predictive,47,1,4.637368899889168,4.664904943785928,0.011133295696438748,0,0,1.7763568394002505e-14
predictive,61,1,4.202995270916972,4.209420176690969,0.011087627636574858,0,0,1.777744618181032e-14
predictive,79,1,4.596040731530138,4.621520241409144,0.01128567854256525,0,0,1.7763568394002505e-14
predictive,97,1,4.618022257244661,4.618022257244661,0.01106923527442565,0,0,1.7770507287906412e-14
predictive,113,1,4.630310745147426,4.783403150262359,0.011540108955780852,0,0,1.7763568394002505e-14
predictive,131,1,4.585580979132374,4.585580979132374,0.01106930459333529,0,0,1.7763568394002505e-14
predictive,149,1,4.500607804049309,4.627186027187349,0.011267574526784398,0,0,1.7819079545233762e-14
predictive,167,1,4.237659518257146,4.237659518257146,0.010669316089093309,0,0,1.7763568394002505e-14
predictive,191,1,3.8641688877968363,3.8641688877968363,0.009988323542763702,0,0,1.7763568394002505e-14
margin,3,1,3.3439145948623263,3.870218220136792,0.01320905762388898,0,0,1.7763568394002505e-14
margin,11,0,3.105346167821949,4.387317733052043,0.014952565899208405,0,0,1.7819079545233762e-14
margin,29,1,3.4603445168285134,3.7438879273943257,0.012849731918300838,0,0,1.777744618181032e-14
margin,47,1,4.046049479249632,4.47804501876243,0.013283419319083913,0,0,1.7763568394002505e-14
margin,61,1,3.8152768630874334,4.0409705501770645,0.013314603813276983,0,0,1.787459069646502e-14
margin,79,1,3.8732798729969886,4.396357104940648,0.013626842845463978,0,0,1.7763568394002505e-14
margin,97,1,3.5373664769166453,3.941388948421718,0.01318197051088374,0,0,1.7763568394002505e-14
margin,113,1,2.75856262217917,3.42408004002732,0.013994620293309917,0,0,1.7763568394002505e-14
margin,131,1,3.6844548989054715,3.8554332841861196,0.013086703090933332,0,0,1.7819079545233762e-14
margin,149,1,2.707231851945835,3.403519052641741,0.013931002520610084,0,0,1.7763568394002505e-14
margin,167,1,3.125926482545424,3.46245961680836,0.012750988500617667,0,0,1.787459069646502e-14
margin,191,1,3.1590098506686672,3.1590098506686672,0.011866799357545704,0,0,1.7763568394002505e-14
