case_id,seed,source_vehicle,injection,speed_drop_mps,negative_acceleration_integral_mps,negative_acceleration_duration_s,pulse_window_negative_acceleration_integral_mps,pulse_window_negative_acceleration_duration_s,success
even_idm_leader_d02,97,0,external leader request,3.1500000000000092,3.1500000000000004,1.9000000000000001,3.15,1.9000000000000001,1
even_idm_leader_d02,113,0,external leader request,3.1500000000000092,3.1500000000000004,1.9000000000000001,3.15,1.9000000000000001,1
even_idm_leader_d02,131,0,external leader request,3.1500000000000092,3.1500000000000004,1.9000000000000001,3.15,1.9000000000000001,1
even_idm_leader_d02,149,0,external leader request,3.1500000000000092,3.1500000000000004,1.9000000000000001,3.15,1.9000000000000001,1
even_idm_leader_d02,167,0,external leader request,3.1500000000000092,3.1500000000000004,1.9000000000000001,3.15,1.9000000000000001,1
even_idm_leader_d02,191,0,external leader request,3.1500000000000092,3.1500000000000004,1.9000000000000001,3.15,1.9000000000000001,1
even_idm_internal8_d02,97,8,additive HDV request before saturation,2.765228687622024,3.1984145533251676,50.1,2.765228687622023,1.8,1
even_idm_internal8_d02,113,8,additive HDV request before saturation,2.7404160420839503,3.1737413695682295,50.5,2.740416042083945,1.7000000000000002,1
even_idm_internal8_d02,131,8,additive HDV request before saturation,2.7337472274093955,3.1761369465633917,50.6,2.7337472274093884,1.7000000000000002,1
even_idm_internal8_d02,149,8,additive HDV request before saturation,2.699101545265041,3.2223737809012736,51.1,2.699101545265038,1.7000000000000002,1
even_idm_internal8_d02,167,8,additive HDV request before saturation,2.722679321486485,3.2048514163593573,50.800000000000004,2.7226793214864804,1.7000000000000002,1
even_idm_internal8_d02,191,8,additive HDV request before saturation,2.735146231811594,3.1625783843990716,50.6,2.7351462318115902,1.7000000000000002,1
