layout,case_id,alpha_mps2,seed,category,category_label,run_id,active_indices,first_active,prefix_indices,success,witness_kind,witness_vehicle,witness_time_s,witness_gap_m,witness_margin_m
front,front_idm_leader_d02,1.7,29,A,recovered,b02a2d555bb21868,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,47,A,recovered,a91a0eb69503c765,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,61,A,recovered,ac3df989e7667761,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,79,A,recovered,468fe379853a5a45,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,97,A,recovered,8cf8dc3bfedbe2b8,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,113,A,recovered,b664d37e67aa09e6,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,131,A,recovered,cbf199884e6aad99,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,149,A,recovered,e897d0237ceb04cb,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,167,A,recovered,a04096f150158078,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.7,191,A,recovered,fee1c80f9e66fab8,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,3,A,recovered,1a907d7f14b53f74,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,11,A,recovered,4a8166f2e39c5e36,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,29,A,recovered,c0df3b5ef563219d,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,47,A,recovered,d199571315d21816,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,61,A,recovered,bdc1ce17e022232f,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,79,A,recovered,617fcae141ad1444,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,97,A,recovered,6011db0aeed50173,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,113,A,recovered,51a1f3fd05e926d9,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,131,A,recovered,d622d84e525905aa,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,149,A,recovered,979c57f9a4a53b97,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,167,A,recovered,167df050d318b75b,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.8,191,A,recovered,5b9434078989f718,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,3,A,recovered,28d396a22ff7dc14,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,11,A,recovered,ee98e6727739f182,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,29,A,recovered,0be0d673a1da879a,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,47,A,recovered,7243121564def916,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,61,A,recovered,2874db4411a83ad0,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,79,A,recovered,0af3d45d097d872d,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,97,A,recovered,82672bceeb618126,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,113,A,recovered,d2d54f7376347edc,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,131,A,recovered,63d37feba6ce24c0,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,149,A,recovered,6de7271a1649e77c,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,167,A,recovered,7f11b80460b30b97,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,1.9,191,A,recovered,0ee6ffdfccdff666,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,3,A,recovered,5b85b7d9efbcd899,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,11,A,recovered,fbf747336f2c459f,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,29,A,recovered,a852dd4abb8b9b16,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,47,A,recovered,d1474dd2003c0568,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,61,A,recovered,65c5a23c92a33b87,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,79,A,recovered,771ff28161cbeb45,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,97,A,recovered,8b126135340f3f09,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,113,A,recovered,300c7c31ce9fd0ad,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,131,A,recovered,318e6570bba50e41,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,149,A,recovered,8145366fdb0e6385,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,167,A,recovered,730d55ec1db1e8b9,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.0,191,A,recovered,ece0a9a9a28ff52c,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,3,A,recovered,da1b2d90c642dfb4,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,11,A,recovered,2147f55f8d449eae,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,29,A,recovered,21b369aabe15da78,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,47,A,recovered,a026bc51b7f98a26,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,61,A,recovered,5e7bdaa860d6bafd,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,79,A,recovered,ae03f0ccdb44870f,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,97,A,recovered,855b82a561224c8e,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,113,A,recovered,fc40c80f53281a2e,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,131,A,recovered,9dc8b8b80f4ea27e,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,149,A,recovered,5890cf5ba208c30a,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,167,A,recovered,be5d5ee2cd7fe2f8,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.1,191,A,recovered,b26585e1e66fa83e,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,3,A,recovered,6dfae8983cae4499,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,11,A,recovered,1824ced2dba2afdc,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,29,A,recovered,dc8fabb8e05ff8ea,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,47,A,recovered,e59187f15ff5f770,"[1,2,3,4]",1.0,[],1.0,,,,,
